,State,Year,state_total_pop,state_emp_avg,state_emp_sum,state_hires_total,state_avg_earnings,state_avg_earnings_meanq,econ_emp_per_1k,econ_hires_per_1k,econ_hire_rate_annual,growth_emp_yoy,growth_earn_yoy,growth_hires_yoy,STATE_# Alcohol-Impaired Driving Deaths,STATE_# Driving Deaths,STATE_Premature Deaths,STATE_% Adults with Obesity,STATE_% Children in Poverty,STATE_% Children in Single-Parent Households,STATE_% Drive Alone to Work,STATE_% Excessive Drinking,STATE_% Fair or Poor Health,STATE_% Long Commute - Drives Alone,STATE_% Low Birthweight,STATE_% Severe Housing Problems,STATE_% Smokers,STATE_% Some College,STATE_% Unemployed,STATE_% Uninsured,STATE_% With Access to Exercise Opportunities,STATE_Food Environment Index,STATE_Income Ratio,STATE_Mentally Unhealthy Days,STATE_Physically Unhealthy Days,STATE_Preventable Hospitalization Rate,STATE_Primary Care Physicians Rate,STATE_Social Association Rate,STATE_Teen Birth Rate,STATE_Violent Crime Rate
439,South Dakota,2024,924669.0,378192.5,1512770.0,255307.0,4656.487078009215,4656.667120677799,409.0031135465772,276.1063688736186,0.6750715574740377,0.015284604790885345,0.03828734837702677,-0.05602676920801597,229.0,650.0,11186.0,36.29878053660283,14.372861099485329,20.510395649709615,78.55868435119721,20.181627362532428,12.548192704632685,16.26155597300223,6.804011046402349,11.715799989087799,17.078693132353308,68.55217145864216,2.110089410142031,11.502481538511919,73.80803955786554,8.189213329310272,4.1533128583480075,4.0815779758343504,2.9430336077139954,2745.588166143777,80.54630882158912,13.684012099777526,19.135670464853153,0.0
440,Tennessee,2014,6544617.0,2328075.5,9312302.0,1855471.0,3622.529184835286,3621.773415036787,355.72371920312526,283.51101370790684,0.7969977777782551,,,,1391.0,5021.0,87284.0,32.025404343753046,26.17198198152772,34.817686485992894,83.43231198102467,8.09887906351128,18.60772199503806,32.317941920818285,9.190001477550176,14.942165051998286,21.658580005522097,56.84444138358312,8.099445635422597,17.04142711224663,60.17318002440686,7.168783911749153,0.0,3.2310482187116527,4.130563270547383,0.0,72.2728300717139,0.0,48.832804099246225,628.9755835137834
441,Tennessee,2015,6595354.0,2398728.0,9594912.0,2036984.0,3733.685127388349,3732.076312785216,363.6996588810851,308.85135202750297,0.8491934058384277,0.03034802780236294,0.030684623057941583,0.0978258350575137,1369.0,4973.0,90439.0,31.987091655732204,26.55788781011603,35.3176658313426,83.78275164675019,8.11522905366414,18.58148184312775,32.640548316284466,9.144152032916471,15.350253600705015,21.64256302239425,57.2609455031025,8.297821916652484,16.21132257203659,70.53239228388217,6.879279429125412,4.643436047346976,3.228877494672765,4.126911504674351,71.9099848074872,72.22311145560496,11.485989714176853,46.794032790525215,619.126722394222
442,Tennessee,2016,6651277.0,2466838.75,9867355.0,2140245.0,3792.337530574303,3791.132442002086,370.88197499517764,321.7795620299681,0.8676063646235491,0.02839452826664799,0.015708984872803228,0.05069308349991949,1378.0,4941.0,92774.0,32.15830632222955,25.983939399907715,35.38272288804111,83.7854809348794,12.076333897986808,21.00739104686213,33.1557318090947,9.073795202395921,15.65275810263453,22.085534041057077,57.7803967257155,6.743599220895404,16.205727347887915,69.51465522992851,6.722696664114275,4.676285109048631,4.499703846344093,4.533897686113509,64.22443618871985,72.78083207213442,11.601687202589673,44.38430485024025,617.7188478878383
443,Tennessee,2017,6714748.0,2509591.5,10038366.0,2141195.0,3906.3342971356096,3906.0455522014126,373.7432141906144,318.87942779088655,0.8532045952498644,0.01733098687540886,0.030059762782782492,0.0004438744162467381,1361.0,4867.0,95487.0,31.802486065001997,24.247322967295275,35.32201302514858,83.85124298799136,12.681197893921922,19.66847581300892,33.76116966712675,8.992651261729472,15.570534339683864,20.794857549399932,58.389507722871734,5.8494262493318105,14.072189692813147,0.0,6.837083774402256,4.644927731284492,4.495760995195696,4.639741715294908,59.170084543753546,72.5364720400155,11.47621438810879,41.53184562179623,605.8848551863426
444,Tennessee,2018,6778180.0,2545227.25,10180909.0,2199588.0,4020.0206384321873,4019.4367400774067,375.50304801583906,324.510119235547,0.8642010256648006,0.014199820966878473,0.029103075325616713,0.027271220043013362,1370.0,4976.0,0.0,32.33504722506632,22.6598747598913,35.407389577558966,83.67763323596198,14.704411045791286,18.72125680730672,34.17196374247955,9.011200396884465,15.48638773304645,20.86560582820868,58.9340997337415,4.887885138882103,12.019348829129399,71.45618825587161,7.214089150774987,4.614281547725391,4.579220553127238,4.53482777466368,58.46437738006368,72.3790763686019,11.304081132084294,35.631242588853645,604.3781148400484
445,Tennessee,2019,6830325.0,2601893.0,10407572.0,2213796.0,4136.3281536750355,4136.161530276217,380.9325324929634,324.11283504079233,0.8508405226502397,0.022263532657054493,0.028932069186641863,0.006459391486041932,1311.0,4997.0,0.0,33.0070534711013,21.228518233026982,35.17770185513201,83.67794191239292,14.711847915945944,18.708939095983407,34.45627080702602,9.023682802573836,15.032068453319596,20.857551551672906,59.61562084802954,3.771389885074856,10.63940856019506,70.85139634427301,7.342742578135008,4.582326348230176,4.57806431787365,4.533260862497695,5279.769889719742,72.16287337578225,11.258913253309501,33.2875111640454,619.2008630494996
446,Tennessee,2020,6927904.0,2527931.0,10111724.0,2078580.0,4374.516091222426,4374.593908625597,364.8911705473979,300.0301389857596,0.8222455438854938,-0.02842622659732741,0.05758439096176792,-0.06107879858848783,1264.0,5027.0,106691.0,33.101243262031346,21.808849198834164,35.01585612515081,83.4987163726452,14.76029599437464,19.490567903150534,34.998339959676116,9.043800475102044,14.602553187512843,20.55903986242966,60.193529799105356,3.5494487685587557,11.289847063757161,70.46467657091236,7.391632866159808,4.591197592867269,4.482974672086005,4.2679378848926675,5298.141897029751,71.48945597398578,10.822755857661583,31.051206539127225,617.4781042257342
447,Tennessee,2021,6965740.0,2589184.0,10356736.0,2447147.0,4743.154541257014,4739.092334147557,371.70264752919286,351.31184913591375,0.9451421760678268,0.024230487303648716,0.08426953801227743,0.17731672584168037,1278.0,5199.0,108615.0,33.2459417520608,19.4993062905018,28.18222653617847,83.26829394915171,16.409582668354872,21.484229684777482,35.43741355548728,9.03546004622246,14.108258858601628,22.803972888829875,60.75933427901782,3.456124639159762,11.975652606397599,70.37154504046086,7.508284446447901,4.533224653998899,5.2920355329482645,4.784253396355943,4892.9972216878605,71.65797618056374,10.754156507937708,28.963971781345553,613.8085189643833
448,Tennessee,2022,7062217.0,2721395.5,10885582.0,2517285.0,4997.940271911966,4995.993404636565,385.3457773953986,356.4440175089494,0.9249978549608097,0.051062998998912396,0.05371651470319367,0.028661130696276113,1280.0,5454.0,115955.0,36.14565186824477,18.374696472793175,27.811616456711214,82.16805039063131,16.14395865069986,21.995634359578588,35.87484200782842,8.994871979183953,13.785521212271497,21.182169777564184,61.7497847460422,7.462573252304629,12.08534007563442,62.420742091516736,7.410042738703724,4.500806044130357,5.327959345035502,4.683183028929626,4339.336491359583,71.33226294235932,10.664013284320127,27.34645521548575,611.4897059338307
449,Tennessee,2023,7148304.0,2792695.75,11170783.0,2349229.0,5210.835612239536,5210.079669023464,390.6794884492881,328.64145117499197,0.8412047749920485,0.026199885316191638,0.04259661555461661,-0.06676081572011115,1280.0,5454.0,115955.0,36.10626446496959,18.518973143839432,27.490464115178863,0.0,16.2333049990246,15.977645424704937,36.16807297227426,8.986576181015351,13.32818641858748,21.078047394179094,62.20152962811515,4.30339197210517,12.204745154239058,67.35001568909183,7.257564633513068,4.525590812323443,5.1839543259188785,3.5043842116381088,3183.20788189758,71.050561224033,10.561237787092672,27.321531368709515,0.0
450,Tennessee,2024,7227750.0,2837030.25,11348121.0,2144123.0,5480.3568019762915,5480.848654954395,392.51914496212515,296.6515167237384,0.7557631787676568,0.015875162913826183,0.051723218653009724,-0.08730779332283059,1368.0,5744.0,129488.0,35.717177835425964,17.94557365708554,27.49490752250555,79.15572241642859,15.62775926172293,18.326735000518834,36.27630179516447,9.00451918945163,13.142870792755481,19.869583895403135,62.47565161135867,3.43408825072084,11.891371166609764,67.16114746538705,7.512258268479125,4.4952440193709435,5.834827910513732,4.127649343723781,2941.778473107122,69.39438945870153,10.490950951867168,24.381745581423665,0.0
